gene_id,3T3_0_A_S1,3T3_0_B_S2,3T3_0_C_S3,3T3_1_A_S4,3T3_1_B_S5,3T3_1_C_S6,3T3_2_A_S7,3T3_2_B_S8,3T3_2_C_S9,3T3_5_A_S10,3T3_5_B_S11,3T3_5_C_S12,3T3_48_A_S13,3T3_48_B_S14,3T3_48_C_S15
ENSMUSG00000102693.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102851.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000103161.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102348.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000102948.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104238.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102269.2,0,0,1,1,2,1,0,1,0,1,1,0,3,2,0
ENSMUSG00000118917.1,0,2,2,1,1,0,0,0,1,1,4,1,0,0,0
ENSMUSG00000103003.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000102735.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104.2,6,9,13,9,7,14,14,3,6,4,8,5,6,9,5
ENSMUSG00000102175.2,0,0,1,0,1,0,0,1,0,3,0,0,2,1,0
ENSMUSG00002075947.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
