Protein_group_ID,r_sq_DMSO,k_computed_DMSO,r_sq_CHX,k_computed_CHX,FC_k,Gene names
21,0.9728912669436816,0.0310106550841858,0.999401200517646,0.0152037882424452,2.0396663377362594,Tardbp
26,0.9920008056798084,0.0388721138209292,0.9921726092221302,0.014880066255899,2.6123616086399397,Spata5
29,0.991097917489106,0.0249458629201648,0.9872256948411792,0.0134309794710871,1.8573375809162553,Tuba4a
34,0.976553217147608,0.0301674604491915,0.982234442215804,0.0129698426640053,2.325969653657718,Gapdh;Gm3839
49,0.9431950770755037,0.0807505011994666,0.9998519735662303,0.0676425896717662,1.1937819292742364,Usp19
51,0.9716789514155004,0.1135498348873039,0.9845478333767655,0.063148308750696,1.7981453048186722,Atp6v1h
78,0.9359234347215786,0.037337063114281,0.9979076246186368,0.0123099484546528,3.0330803781853923,Fubp1
80,0.99970282006218,0.0320575281063031,0.9951045571486704,0.0156822339414924,2.0441939729954277,S100a4
93,0.9948973275417404,0.0342552305479081,0.9907651881983024,0.0193801387856971,1.7675430979467026,Sept11
101,0.9663561932539342,0.0674704364986053,0.98117336459404,0.0304894312718299,2.212912267764839,Kiaa0020
114,0.9410909837876676,0.0751702021421766,0.9270191789273732,0.0563548288160389,1.3338733116829686,Ndufa9
148,0.9945361621657663,0.0345004948718177,0.9893113218980144,0.0198266533104919,1.740106831522629,Stt3b
166,0.9999999491422964,0.0557159325661022,0.9879095425874556,0.0281108168101126,1.982010446101976,Vcpip1
195,0.9806743312200888,0.0434177834518001,0.9887192894688784,0.0265087006793355,1.6378691651849178,Smarca4
237,0.971960741588605,0.0465618128040675,0.9250717403973862,0.0277159793404404,1.6799627475594605,Bub3
259,0.9834199721296522,0.0480163004790472,0.967463089832079,0.0298794933140369,1.606998484692842,Tubgcp2
289,0.9424745874101322,0.0297261622561643,0.984503843864742,0.0204197724906096,1.4557538420094742,Rpl18a
297,0.908057887734354,0.2775232332366598,0.9013986395397336,0.0966397341456308,2.8717300982890475,Ldlr
306,0.9705238540095518,0.0474118147990415,0.996096902696374,0.0154923542031415,3.060336355427986,Syne1
315,0.9908728226453436,0.0484593649412286,0.9942658167346607,0.0250012415573308,1.938278338301942,Myl6
343,0.9961333428863482,0.0397958749271684,0.9987648714744428,0.0219968095698645,1.8091657701891695,Ssr1
354,0.9552698772273444,0.0410343938120415,0.932338313644825,0.0224356902913642,1.8289784392252995,Myof
378,0.9995700738657058,0.0728636375157395,0.9999968088626048,0.0403726037148253,1.8047792515542689,
